STATION  LON        LAT        ELEVATION
SILB     -123.2815  48.6020    76.0
SSIB     -123.3875  48.7558    12.0
TSJB     -123.9885  48.6013    378.0
TWKB     -123.7332  48.6448    128.0
KLNB     -123.5706  48.6611    0.0
